Q: Why did the blonde become a big basketball fan?,A: Because every time they stopped the clock[COMMA] she thought that she had stopped aging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a boomerang that doesn't come back?,A: A stick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the chicken cross the basketball court?, ,A: He heard the ref was blowing fowls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There are three types of sex in a marriage.,The first one is Kitchen Sex.,This is when you are newlyweds[COMMA] and you're still having fun[COMMA] so you do it anywhere[COMMA] anytime - but mostly the kitchen.,The second type is Bedroom Sex., This is when you have settled down a bit and probably have kids[COMMA] so you can't do it anywhere except the bedroom.,The third type of sex is Hallway Sex., This is when you pass each other in the hall and say[COMMA] ''Screw you.'',But there's also a fourth kind called Courtroom Sex., This is when you are getting a divorce and you try to screw each other in public.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you know that Mike Tyson is to appear in the next Batman movie?, ,He's the Nibbler!, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Tyson finally apologized to Holyfield for biting off his ear., ,"He said[COMMA] ""Believe it or not[COMMA] I have learned many things about how to behave in society while I was in jail.",So I would like to apologize to Mr.,Holyfield for biting his ear in such a beastly way.," Next time I promise to use a knife and fork.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear about the new Mike Tyson Computer?, ,It has two bytes and no memory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day mama bear and papa bear were getting a divorce., The judge decided that baby bear was going to live with mama bear., .,Baby bear started to cry,Whats wrong? the judge asked baby bear., .,I dont want to live with mama bear[COMMA] she abuses me! said baby bear., .,Then[COMMA] you can live with papa bear said the judge., .,Baby bear started to cry even harder,"the judge asked him[COMMA] ""Whats wrong?""","Baby bear replied[COMMA] "" I dont want to live with papa bear he abuses me even more than mama bear does."""," ""Then who do you want to live with?"" asked the judge.", .,"Baby bear replied[COMMA] ""I want to live with the Baylor Bears[COMMA] because they don't beat anyone!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe loved golf[COMMA] but his eyesight had gotten so bad[COMMA] that he couldn't find his ball once he'd hit it., He consulted with his wife[COMMA] and she recommended that Joe bring along her uncle Ted.,"Joe said[COMMA] ""But Ted is 80 years old and half senile!""","His wife replied[COMMA] ""Yes[COMMA] but his eyesight is incredible.""",Joe finally agreed and took Ted along., He teed off and could feel that he had hit it solidly.," He asked Ted[COMMA] ""Do you see it?""","Ted nodded his head and said[COMMA] ""Boy[COMMA] that was a beautiful shot!""","Joe excitedly asked[COMMA] ""Well[COMMA] where did it land?!""","Ted said[COMMA] ""Hmmm."," I forget."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I hear you're into unnecessary roughness.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you and I were squirrels[COMMA] I could bust a nut in your hole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In a class on abnormal psychology[COMMA] the instructor was about to introduce the subject of manic depression.,"The instructor asked[COMMA] ""How would you diagnose a patient who walks back and forth[COMMA] screaming at the top of his lungs one minute[COMMA] then sits in a chair weeping uncontrollably the next?""","A young man in the rear raised his hand and suggested earnestly[COMMA] ""A basketball coach?"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Keep your back straight[COMMA] knees bent[COMMA] feet shoulder width apart.,9,Form a loose grip.,8,Keep your head down.,7,Avoid a quick backswing.,6,Stay out of the water.,5,Try not to hit anybody.,4,If you are taking too long[COMMA] you should let others go ahead of you.,3,You shouldn't stand directly in front of others.,2,Be quiet while others are about to go.,1,Keep strokes to a minimum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a vampire who sucked people's blood for many centuries.,"God was very angry at the vampire and said to him[COMMA] ""You're going to hell!""", ,"The vampire fell to his knees and said[COMMA] ""God[COMMA] I beg of you[COMMA] give me one more chance to be good.""", ,God agreed., ,Then the vampire said[COMMA] ''I want to be light[COMMA] fluffy[COMMA] and white like a cloud.'', ,''That seems easy enough[COMMA]'' replied God., ,''I would also like to have wings like an angel.'', ,''OK[COMMA]'' replied God.,Since God had said yes to all his requests[COMMA] the vampire decided to ask for a very greedy request., ''God[COMMA] if possible[COMMA] could you let me suck a little blood?'', ,''Sure[COMMA]'' replied God[COMMA] ''but only once a month.'',And he turned the vampire into a maxi pad with wings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the difference between sex and golf?, ,In golf[COMMA] a bad hole won't kill you!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,The quicker picker upper!,9,One a day[COMMA] like iron!,8,Get a piece of the rock!,7,You've come a long way[COMMA] baby!,6,It plumps when you take 'em!,5,Strong enough for a man[COMMA] but made for a woman!,4,Tastes great[COMMA] more filling!,3,Viagra[COMMA] built ram tough!,2,Here's the beef!,And the number one slogan being considered by Viagra:,1,Just do her!,Some honorable mentions:,**We work harder[COMMA] so you don't have to,**Ten inches long...and growing!,**Viagra[COMMA] when it absolutely positively has to be there tonight!,**Viagra[COMMA] home of the Whopper!,**Viagra &#151; now is a great time to be silver.,**This is your penis.,This is your penis on Viagra.,Any questions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"One sportsman goes up to a non-athletic man and says[COMMA] ""If you aren't into sports[COMMA] then you are gay.""","The non-athletic man responds[COMMA] ""Okay[COMMA] riddle me this[COMMA] riddle me that[COMMA] if you're into sports[COMMA] then you are into slapping each others asses?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's a guy who lives in Ohio.,One morning[COMMA] he hears a voice in his head.,The voice says[COMMA] ''Quit your job[COMMA] sell your house[COMMA] take all your money[COMMA] and go to Las Vegas.'',He ignores the voice.,Later in the day[COMMA] he hears the voice again.,''Quit your job[COMMA] sell your house[COMMA] take all your money[COMMA] and go to Las Vegas.'',Again[COMMA] he ignores the voice.,Soon he hears the voice every minute of the day.,''Quit your job[COMMA] sell your house[COMMA] take all your money[COMMA] and move to Las Vegas.'',He can't take it anymore.,He believes the voice.,He quits his job[COMMA] sells his house[COMMA] takes all his money[COMMA] and flies to Las Vegas.,As soon as he steps off the plane[COMMA] the voice says[COMMA] ''Go to Caesar's Palace.'',He goes to Caesar's Palace and the voice says[COMMA] ''Make your way to the roulette tables.'',He goes to the roulette tables and the voice says[COMMA] ''Put all your money on red 23.'',He puts all his money on red 23.,The dealer spins the wheel.,It comes up black 17.,The voice says[COMMA] ''F**k.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do a hockey player and a magician have in common?,Hat tricks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do a rattlesnake and a soft penis have in common?, , A: You can't f**k with either one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's the difference between a Ford and a golf ball?, ,A: You can drive a golf ball 200 yards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$ Michael Jordan having ,retired[COMMA],with $40 million in endorsements[COMMA] makes $178[COMMA]100 a day[COMMA] working or not.,$ If he sleeps 7 hours a night[COMMA] he makes,$52[COMMA]000 every night while visions of sugarplums dance in his head.,$ If he goes to see a movie[COMMA] it'll cost him,$7.00[COMMA] but he'll make $18[COMMA]550 while he's there.,$ If he decides to have a 5 minute egg[COMMA] he'll,make $618 while boiling it.,$ He makes $7[COMMA]415/hr more than minimum wage.,$ He'll make $3[COMMA]710 while watching each,episode of Friends.,$ If he wanted to save up for a new Acura NSX,($90[COMMA]000) it would take him a whole 12 hours.,$ If someone were to hand him his salary and,endorsement money[COMMA] they would have to do it at the rate of $2.00 every second.,$ He'll probably pay around $200 for a nice,round of golf[COMMA] but will be reimbursed $33[COMMA]390 for that round.,$ Assuming he puts the federal maximum of 15%,of his income into a tax deferred account (401k)[COMMA] his contributions will hit the federal,cap of $9500 at 8:30 a.m.,on January 1st.,$ If you were given a penny for every 10,dollars he made[COMMA] you 'd be living comfortably at $65[COMMA]000 a year.,$ He'll make about $19.60 while watching the,100 meter dash in the Olympics[COMMA] and about $15[COMMA]600 during the Boston Marathon.,$ While the common person is spending about,$20 for a meal in his trendy Chicago restaurant[COMMA] he'll pull in about $5600.,$ This year[COMMA] he'll make more than twice as,much as all U.S.,past presidents for all of their terms combined.,Amazing isn't it?, However...,$ If Jordan saves 100% of his income for the,next 450 years[COMMA] he'll still have less than Bill Gates has today.,$$$ Game over., Nerd wins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you have a Virginia Tech football player and a UVA Foootball player in the same car at the same time[COMMA] who drives?,"The state trooper!!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's the first day of school[COMMA] and the teacher announces to the class that they will learn to speak like grownups this year.,To demonstrate[COMMA] she asks the kids what they did this summer.,"The first child says[COMMA] ""I went on a choo-choo train ride.""","No[COMMA] the teacher says[COMMA] ""you went on a train ride.""","The second child says ""I went on a tug-tug boat ride.""","No[COMMA] the teacher says[COMMA] ""you went on a boat ride.""","The third child says[COMMA] full of pride[COMMA] ""I read a book."" ""Which one?"" asks the teacher.",Winnie-the-S**t!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A waitress walks up to one of her tables in a New York City restaurant and notices that the three Bulgarian businessmen seated there are furiously masturbating.,"She says[COMMA] ""What the hell do you guys think you are doing?"" ","One of the Bulgarian men says[COMMA] ""Can't you see?"," Ve arrrre all verrry[COMMA] verrry hoongry."" The waitress makes a stroking motion and says[COMMA] ""So how is whacking-off in the middle of the restaurant going to help that situation??"" One of the other businessmen replies:",The menu say[COMMA] FIRST COME[COMMA] FIRST SERVED!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you make it to third base[COMMA] I'll go ahead and walk you home.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A guy walks into a bar with his pet dog.,"The bartender says[COMMA] ""No pets allowed.""","The man replies[COMMA] ""This is a special dog.",Turn on the Jets game and you'll see.,"Whenever the Jets score[COMMA] my dog does flips.""",The Jets keep scoring field goals[COMMA] and the dog keeps flipping and jumping.,"Wow!,What happens when the Jets score a touchdown?","The man replies[COMMA] ""I don't know.","I've only had him for 7 years.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I promise I'll give you more than a two-minute warning.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Catholic priest[COMMA] a Baptist preacher and a rabbi fish in a lake.,The preacher has to use the bathroom[COMMA] so he walks across the water[COMMA] does his business and walks back.,Then the rabbi has to go[COMMA] so he walks across the water[COMMA] does his business and walks back.,The Catholic has to go[COMMA] but when he gets out he falls into the water.,"He swims back[COMMA] gets back into the boat[COMMA] and says[COMMA] ""God[COMMA] let me walk across the water."" He tries again and falls into the water[COMMA] swims back[COMMA] tries again and falls again.","The Baptist leans over to the rabbi and asks[COMMA] ""Do you think we should tell him where the stepping stones are?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear about the blonde who got a pair of,waterskis?, ,She's still looking for a lake with a slope!!, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Both are made out of plastic.,5,Both are full of hot air.,4,Both are frequently passed from man to man., ,3,Both have been known to score.,2,Both are often handled by hot[COMMA] sweaty guys on television.,1,Women aren't especially fond of them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the day of the Royal Wedding[COMMA] Sofia was getting dressed[COMMA] surrounded by all her family[COMMA] and she suddenly realized she had forgotten to get any shoes.,Then her sister remembered that she had a pair of white shoes from her wedding so she lent them to Sofia for the day.,Unfortunately[COMMA] they were a bit too small and by the time the festivities were over Sofia's feet were in agony.,When she and Edward withdrew to their room the only thing she could think of was getting her shoes off.,The rest of the Royal Family crowded round the door to the bedroom and they heard roughly what they expected[COMMA] grunts[COMMA] straining noises and the occasional muffled scream.,Eventually they heard Edward say ''God[COMMA] that was tight.'',''There[COMMA]'' whispered the Queen.,''I told you she was a virgin.'',Then[COMMA] to their surprise[COMMA] they heard Edward say.,''Right.,Now for the other one.'' Followed by more grunting and straining and at last Edward said ''My God.,That was even tighter.'',''That's my boy[COMMA]'' said the Duke.,''Once a sailor[COMMA] always a sailor.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Jimmy had become a real nuisance while the men tried to concentrate on their Saturday afternoon poker game.,His father tried in every way he could to get Jimmy to occupy himself[COMMA] but the youngster insisted on running back and forth behind the players and calling out the cards they held.,The players became so annoyed that they threatened to quit the game.,At this point[COMMA] the boy's uncle stood up[COMMA] took Jimmy by the hand[COMMA] and led him out of the room.,The uncle returned in a short time without Jimmy and without comment[COMMA] and the game resumed.,For the balance of the afternoon[COMMA] there was no trouble from Jimmy.,"After the game ended and the players were settling their wins and losses[COMMA] one of the men asked Jimmy's uncle[COMMA] ""What in the world did you do to Jimmy?"" ",Not much[COMMA] the boy's uncle replied.,I told him how to jerk off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There were two old guys[COMMA] Abe and Sol[COMMA] sitting on a bench in a park feeding pigeons and talking about baseball[COMMA] just like they did every day.,"Abe turns to Sol and says[COMMA] ""Do you think there's baseball in heaven?"" ","Soloman thinks about it for a minute and replies[COMMA] ""I dunno[COMMA] Abe.","But let's make a deal: If I die first[COMMA] I will come back and tell you -- and if you die first[COMMA] you come back and tell me -- if there is baseball in heaven."" ",They shake on it and[COMMA] sadly[COMMA] a few months later poor Abe passes on.,"One day soon afterward[COMMA] Sol is sitting there feeding the pigeons by himself when he hears a voice whisper[COMMA] ""Sol...","Sol...."" ","Sol responds[COMMA] ""Abe!","Is that you?""",Yes it is Sol[COMMA] whispers the spirit of Abe.,"Sol[COMMA] still amazed[COMMA] asks[COMMA] ""So[COMMA] is there baseball in heaven?"" ","Well[COMMA] says Abe says[COMMA] ""I got good news and I got bad news."" ",Gimme the good news first[COMMA] says Sol.,"Abe says[COMMA] ""Well...","there is baseball in heaven.""","Sol says[COMMA] ""That's great!","What news could be bad enough to ruin that!?"" ","Abe sighs and whispers[COMMA] ""You're pitching on Friday.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call a deer with no eyes?, ,No ideer (no eye deer with southern twang - in case you didn't catch that),What do you call a deer with no eyes and no legs?,Still no ideer., ,What do you call a deer with no eyes[COMMA] legs and no balls?, ,Still no fuckin' ideer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There were 2 whales swimming around who were very bored when they saw a fishing boat one whale says to the other[COMMA] ''I've got an idea for a laugh[COMMA] why don't we swim under the boat[COMMA] blow water from our blowholes and capsize the boat[COMMA] for a laugh''., ,They proceed to do this and swim back down laughing their flippers off.,Then the first whale says[COMMA] ''I have an even better idea[COMMA] now that the fishermen are in the water[COMMA],why don't we swim back up and eat a few?'',The other whale then replies ''Look mate I don't mind the odd blow job but I refuse to swallow seamen!!!!'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do Dale Earnhardt and Pink Floyd have in common?,Their last big hit was The Wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<ol>,<li> More beer.,More cheese.,More sex.,<li> Vitamin fortified cigars.,<li> Public beer fountains.,<li> Kitty catapults.,<li> All day happy hour at a lesbian Hooters.,<li> Wet T-shirt Fridays.,<li> Replace NFL linebackers with genetically bred velociraptors.,<li> Rocket boots.,<li> Machine gun camp.,<li> NASA space shuttle races.,<li> Sledgehammer boxing.,<li> Girlfriend TiVO so you can pause[COMMA] rewind[COMMA] and delete arguments.,<li> Congressional pie fights.,<li> Government research grants to build the perfect chicken parmesan hero.,<li> More beer.,More cheese.,More sex.,<li> Tomahawk missile surf boards.,<li> Hot tub jury boxes.,<li> Nacho cheese lipstick.,<li> Personal midget-ninja chauffeurs.,<li> New TV shows: PBS' The BBQ Hour[COMMA] Total Kung-Fu Live[COMMA] and America's Funniest Farts.,<li> 24-hour[COMMA] on call UN negotiator for when you stumble home late[COMMA] drunk[COMMA] with lipstick stains on your collar.,<li> More beer.,More cheese.,More sex.,<li> Condoms that whistle[COMMA] whir[COMMA] and honk when used.,<li> Inflatable sex dolls who cook.,<li> Beef jerky business cards.,<li> Combination briefcase/pizza oven.,<li> National Make-Out with Cheerleaders Day.,<li> Art museums dedicated to framing copy-machine faxes of asses.,<li> Robot gloves for crushing kegs of beer.,"<li> Karaoke ""ejector"" stages.",<li> Opera glasses that broadcast ESPN.,<li> The Astronaut Reserves.,"<li> Porno without all the ""talking"" filler.","<li> Head banging elevated to ""fine art"".",<li> All money spent on women tax deductible!,<li> Free BBQ buffet at the DMV.,<li> Passports to Margaritaville.,<li> The ability to telepathically force anyone to belch on the spot.,"<li> One ""Get Out of the Doghouse"" card.",</ol>,,,,,,,,,,,,,,,,,,,
What does OJ have that every man wants?,A Heisman trophy and a dead ex-wife!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers have no compassion on the basketball court.,Your neck could be broke in four different places[COMMA] brothers would be like[COMMA] 'Hey man[COMMA] we need a sub.,You want to move to the side -- this is point game.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An 80 year old man was having his annual checkup when the doctor asked how he was feeling.,''I've never been better!'' he boasted.,''I've got an 18 year old bride who's pregnant and having my child!,What do you think about that?'' ,The doctor considered this for a moment[COMMA] then said[COMMA] ''Let me tell you a story.,I knew a guy who was an avid hunter.,He never missed a season.,But one day he went out in a bit of a hurry and accidentally grabbed his umbrella instead of his gun.'' The doctor continued[COMMA] ''So he was in the woods and suddenly a grizzly bear appeared in front of him!,He raised up his umbrella[COMMA] pointed it at the bear and squeezed the handle.,And do you know what happened?'' the doctor queried.,Dumbfounded[COMMA] the old man replied[COMMA] ''No[COMMA] what?'' ,The doctor continued[COMMA] ''The bear dropped dead in front of him.'' ,''That's impossible!'' exclaimed the old man.,''Someone else must of shot the bear.'' ,''That's kind of what I'm getting at[COMMA]'' replied the doctor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&copy; Copyright 2014 Comedy Partners.,All Rights Reserved.,Comedy Central and all related titles[COMMA] logos and characters are trademarks of comedy partners.,</div>,"<div id=""activityIndicator""><img src=""/sitewide/images/sprites/loading.gif"" alt=""Loading...""/></div>","		","		",<!--[if lt IE 9]>,"<script type=""text/javascript"" src=""/sitewide/js/jquery-1.11.0.min.js""></script>",<![endif]-->,<!--[if gte IE 9]><!-->,"<script type=""text/javascript"" src=""/sitewide/js/jquery-2.1.0.min.js""></script>",<!--<![endif]-->,"<script type=""text/javascript"" src=""/media/bottom_beta.js""></script>","<script type=""text/javascript"">try{Typekit.load();}catch(e){}</script>","<script type=""text/javascript"" src=""//browser-update.org/update.js""></script>","	<!--PAGEOK-->","	</body>",</html>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two guys and a girl were sitting at a bar talking about their jobs.,One guy says[COMMA] ''I'm a YUPPIE...ya know...Young[COMMA] Urban[COMMA] Professional., The second guy says[COMMA] ''I'm a DINK,..ya know...Double Income No Kids.'' They asked the woman[COMMA] ''What are you?'',She replied..., ''I'm a WIFE...ya know...,WASH[COMMA],IRON[COMMA] F**K[COMMA] ETC.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twenty feet below sea level[COMMA] a diver notices another guy at the same depth with no scuba gear.,The diver goes down another 10 feet[COMMA] and the guy joins him a minute later.,The diver goes below 15 more feet[COMMA] and a minute later[COMMA] the same guy joins him.,"The diver takes out a waterproof pad and pencil and writes[COMMA] ""How are you able to stay this deep without equipment?""","The guy takes the pencil and pad and writes[COMMA] ""I'm drowning[COMMA] you moron!"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddy and his two friends are talking at a bar.,"His first friend says: ""I think my wife is having an affair with the electrician.","The other day I came home and found wire cutters under our bed and they weren't mine."" ","His second friend says: ""I think my wife is having an affair with the plumber.","The other day I found a wrench under the bed and it wasn't mine.""","Paddy says: ""I think my wife is having an affair with a horse."" Both his friends look at him with utter disbelief.","No[COMMA] I'm serious.,The other day I came home and found a jockey under our bed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George W.,Bush[COMMA] Dick Cheney[COMMA] Colin Powell[COMMA] and Bill Clinton were on the yellow brick road[COMMA] going to see the Wizard of Oz.,When they got there[COMMA] the Wizard of Oz said they could each have one wish., ''I want to have brains[COMMA]'' said George W.,POOF!,He got some brains.,''I want to have a heart[COMMA]'' said Dick Cheney.,POOF!,He had a heart (albeit a problematic one.),''I want to have courage[COMMA]'' said Colin Powell.,POOF!,He had courage.,Finally it was former President[COMMA] Bill Clinton's turn.,''Well[COMMA] what do you want?'' asked the Wizard.,Clinton thought a moment and asked[COMMA],''Ummm...,Is Dorothy around?'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We're in this trophy shop[COMMA] right?,There's trophies everywhere[COMMA] shelves and shelves of trophies.,My dad looks around and goes[COMMA] 'This guy's really good.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do working for the Mafia and fingering a woman have in common?,A: One wrong move and you're in the sh*t.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why do women prefer sex over bowling?,A: Because the balls are lighter and you don't have to change your shoes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the difference between a woman a pool, table?, ,On the pool table[COMMA] you put the balls in the hole and the stick stays out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two brothers[COMMA] Bob and Tom[COMMA] both work for a lumberyard., One day[COMMA] Bob tells Tom that he can tell what any piece of wood is just by smelling it., Unbelieving[COMMA] Tom blindfolds Bob and proceeds to test the theory., The first piece of wood Bob smells[COMMA] he instantly identifies as maple., The second piece Bob instantly identifies as walnut., Tom cannot believe Bob can really do this[COMMA] so he takes an old piece of wood and whispers to the secretary to rub the wood between her legs., She happily runs it up in her crotch., Tom hands the piece of wood to Bob., Bob smells it three times.,''I am stumped., But I would have to guess that this wood is either a pussywillow or a shingle from a shithouse.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does Tiger Woods have that Princess Diana didn't?,A good driver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: These days[COMMA] what do you need to shoot to win a professional golf tournament?, ,A: Tiger Woods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A little boy came home from school one day and told his mother[COMMA] ''Mom[COMMA] today I heard some older kids using some words I don't know the meaning of.,Can you tell me what they mean?'',''Sure[COMMA]'' his mother said.,''Just tell me what they are.'',The little boy replied[COMMA] ''P***y and bitch.'',His mother said[COMMA] ''No problem.,A pussy is a cat[COMMA] like the neighbor's Tabby[COMMA] and a bitch is a female dog[COMMA] like our Sandy.'',The boy thanked his mother[COMMA] and then went out to the garage[COMMA] where his father was working.,''Dad[COMMA]'' he began[COMMA] ''today I heard some kids using some words that I don't know the meaning of.,I asked Mom[COMMA] but I don't think that she gave me the right answer.,Can you help me?'',''Sure[COMMA]'' his father replied.,''What are the words?'',''P***y and bitch[COMMA]'' the boy replied., ,His father said[COMMA] ''I thought I told you anytime you have a question like that[COMMA] you were supposed to ask me[COMMA] and not your mother[COMMA] because she can't handle it.'',With that[COMMA] he reached up on a shelf and pulled down an edition of Playboy magazine[COMMA] and a magic marker.,He then took the marker[COMMA] and drew a circle around the woman's genital area., ''Son[COMMA]'' he began[COMMA] ''everything inside this circle is a p***y.'',''Okay[COMMA]'' his son said[COMMA] ''but what is a bitch?'',His father said[COMMA] ''Everything outside this circle.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give a man a fish[COMMA] and he will eat for a day.,Teach him how to fish[COMMA] and he will sit in a boat and drink beer all day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On the first night of their honeymoon[COMMA] the new bride tells her husband[COMMA] ""I have a confession to make.",I'm not a virgin.,"I've been with one other guy.""","Oh yeah?,Who was the guy?",Tiger Woods[COMMA] the golfer.,"Well[COMMA] he's rich[COMMA] famous and handsome.,I can understand that.",The couple then makes passionate love.,When they finish[COMMA] the husband gets up and walks to the telephone.,What are you doing? asks the wife.,"I'm hungry.,I'm calling room service.",Tiger wouldn't do that.,"Oh yeah?,What would Tiger do?",He'd come back to bed and do it a second time.,The husband drops the phone and makes love to his wife a second time.,When they finish[COMMA] he goes back to the phone.,What are you doing now? she asks.,I'm still hungry[COMMA] so I'm going to ring room service for some food.,Tiger wouldn't do that.,"Oh yeah?,What would Tiger do?",He'd come back to bed and do it one more time.,The husband puts the phone down and heads back to bed.,Exhausted after the third lovemaking session[COMMA] he shuffles back to the phone and starts to dial.,"The wife asks[COMMA] ""Are you calling room service?""","No!,I'm calling Tiger Woods to find out what's par for this hole!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
